gene_group	pval_hDEG_enrich	OR_hDEG_enrich	pval_hDEG_near_HAR_hCONDEL_enrich	OR_hDEG_near_HAR_hCONDEL_enrich	pval_hDEG_near_HAR_hCONDEL_in_cat_enrich	OR_hDEG_near_HAR_hCONDEL_in_cat_enrich	padj_hDEG_enrich	padj_hDEG_near_HAR_hCONDEL_enrich	padj_hDEG_near_HAR_hCONDEL_in_cat_enrich
SynGO-L3-BP-postsynapse organization	0.000409253906795675	2.49331624115474	0.0138125522084576	2.47558050846518	0.0134506720644344	6.8496127848553	0.00229182187805578	0.0682502579712023	0.0706160283382806
SynGO-L3-BP-structural constituent of synapse	0.0252528939318439	2.37713844221251	0.00173994479902187	5.4163699536108	0.0157349896480331	12.4593409947664	0.0785645588990699	0.0112427202398336	0.0777493606138106
SynGO-L2-BP-process in the postsynapse	0.000145645357572377	1.73498899545185	0.0368510798609714	1.68032854015431	0.0188253172834392	2.40941184077217	0.00101951750300664	0.15477453541608	0.0878514806560496
SynGO-L3-CC-neuronal dense core vesicle	0.00109475384570781	3.89470868753845	0.00472815943226966	4.21077999999017	0.0232705509593381	Inf	0.005747457689966	0.0248228370194157	0.102880330557074
SynGO-L3-BP-regulation of presynaptic cytosolic calcium levels	0.0719689300215206	2.24646969716253	0.0440584712015116	3.37266733967335	0.0372670807453416	Inf	0.188918441306492	0.176233884806046	0.156521739130435
SynGO-L3-BP-regulation of postsynaptic membrane neurotransmitter receptor levels	0.00710454433638813	1.71562003197159	0.0561760787929956	1.89658460768878	0.0600244045480403	2.52748665993771	0.0284181773455525	0.196616275775485	0.240097618192161
SynGO-L3-CC-presynaptic cytosol	0.0922714038621783	1.81713100424235	0.161708477728416	2.35923774680684	0.0755160054381411	7.50933241170061	0.22796464483597	0.439801056516284	0.28833383894563
SynGO-L3-BP-maintenance of synapse structure	0.0155782512257894	3.43226879310213	0.000365212346396124	11.0529483473394	0.118881118881119	9.76063076431971	0.0568944827376656	0.0027888942815704	0.434174521131043
SynGO-L3-BP-postsynaptic signaling pathway	0.180802744292825	2.05812274758571	0.15141781281729	2.82738964045075	0.2	Inf	0.410471095151278	0.439801056516284	0.7
SynGO-L2-CC-synaptic cleft	0.0367121746879923	3.2938635223868	0.15141781281729	2.82738964045075	0.230769230769231	Inf	0.110136524063977	0.439801056516284	0.775384615384616
SynGO-L3-BP-presynaptic dense core vesicle exocytosis	0.0201312872371337	3.23653020540098	0.420824700118365	1.76599818539904	0.245098039215686	Inf	0.0657114552843223	0.922578437984396	0.791855203619909
SynGO-L3-BP-postsynaptic cytoskeleton organization	1	0.881116005333684	0.0708567985580408	4.71414897496543	0.302708978328173	3.40427379138122	1	0.235855631051971	0.908126934984519
SynGO-L3-BP-regulation of synapse organization	0.00150885681754993	3.8647803793359	1	0.722750000677744	0.296858747659663	0.274162270216698	0.00704133181523301	1	0.908126934984519
SynGO-L2-CC-extrasynaptic space	0.601357542220679	2.05669325915394	0.0307225830770761	Inf	0.333333333333333	Inf	0.892978801283184	0.13582615676181	0.933333333333332
SynGO-L3-CC-perisynaptic extracellular matrix	0.601357542220679	2.05669325915394	0.0307225830770761	Inf	0.333333333333333	Inf	0.892978801283184	0.13582615676181	0.933333333333332
SynGO-L3-BP-regulation of postsynaptic cytosolic calcium levels	0.00117360168215911	9.268479282585	1	0.587305370571197	0.345454545454545	0.166666539267787	0.00579897301772737	1	0.93607038123167
SynGO-L3-BP-neurotransmitter receptor transport	0.757253826307417	1.17514620851088	0.537716247012185	1.56793785502697	0.363636363636364	Inf	0.999720481494902	1	0.954545454545455
SynGO-L3-BP-synapse adhesion between pre- and post-synapse	1.72586999543689e-07	7.37859360331832	1.53325761312041e-05	6.07218857890066	0.39438882709183	3.06930369470343	1.6108119957411e-06	0.000143104043891238	0.988235294117647
SynGO-L3-CC-postsynaptic ER	1	0.513982902505642	0.175371454299865	Inf	0.4	Inf	1	0.446400065490565	0.988235294117647
SynGO-L2-BP-metabolism	0.0203392599689569	1.71920158230091	0.0730029334208481	0.283191537166228	1	0.790292378414048	0.0657114552843223	0.235855631051971	1
SynGO-L2-BP-transport	0.847206191333939	0.881035585650943	1	0.587305370571197	1	1.18050876103441	1	1	1
SynGO-L2-CC-synaptic membrane	0.406626088311597	1.54292197050661	1	0.940354983810561	1	1.36624027198094	0.683131828363483	1	1
SynGO-L3-BP-ATP metabolic process in the postsynapse	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-ATP metabolic process in the presynapse	0.327195050088391	Inf	1	0	1	0	0.597486613204888	1	1
SynGO-L3-BP-RNA polyadenylation at postsynapse	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-axo-dendritic transport	0.761691795424687	0.685232156828273	1	0	1	0	0.999720481494902	1	1
SynGO-L3-BP-establishment of endoplasmic reticulum localization to postsynapse	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-modification of synaptic structure	0.71085568661203	1.17546247166195	1	0.940277990233474	0.609970674486803	1.86140473327724	0.984953226286424	1	1
SynGO-L3-BP-neurotransmitter biosynthetic process	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-neurotransmitter catabolic process	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-neurotransmitter reuptake	0.721906203707065	1.23387821936772	1	0	1	0	0.984953226286424	1	1
SynGO-L3-BP-neurotransmitter uptake	1	0.685373912582497	1	0	1	0	1	1	1
SynGO-L3-BP-postsynaptic dense core vesicle exocytosis	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-presynapse organization	0.327195050088391	Inf	0.175371454299865	Inf	1	0	0.597486613204888	0.446400065490565	1
SynGO-L3-BP-presynaptic chaperone-mediated protein folding	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-presynaptic cytoskeleton organization	0.601357542220679	2.05669325915394	1	0	1	0	0.892978801283184	1	1
SynGO-L3-BP-presynaptic endocytosis	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-presynaptic signaling pathway	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-protein catabolic process at synapse	0.726989286068551	0.587343815214921	1	0	1	0	0.984953226286424	1	1
SynGO-L3-BP-protein catabolic process modulating synaptic transmission	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-regulation of postsynaptic membrane potential	0.1872064656064	1.4615740818968	0.571045982759182	1.38535477071249	0.463678030996182	1.95896718636506	0.413824818708884	1	1
SynGO-L3-BP-regulation of postsynaptic neurotransmitter receptor activity	0.275075859220775	1.80051846288361	1	0.783459747608833	1	1.1546986171358	0.563570053037685	1	1
SynGO-L3-BP-regulation of protein catabolic process at synapse modulating synaptic transmission	0.338643292073855	3.08554937137224	0.439323065706855	2.35225026332494	1	Inf	0.605234819876677	0.922578437984396	1
SynGO-L3-BP-regulation to translation at synapse modulating synaptic transmission	0.40022687574081	2.05693123889428	1	0	1	0	0.683131828363483	1	1
SynGO-L3-BP-structural constituent of synapse-associated extracellular matrix	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-synapse disassembly	0.0417869433871483	5.14454856407681	0.213138470015783	3.13918362532535	1	Inf	0.117003441484015	0.511532328037879	1
SynGO-L3-BP-synapse maturation	0.605949900870732	0.632390349241671	0.537716247012185	1.56793785502697	0.426470588235294	3.6058019140482	0.892978801283184	1	1
SynGO-L3-BP-synaptic signaling by nitric oxide	0.107040384341992	Inf	1	0	1	0	0.249760896797981	1	1
SynGO-L3-BP-synaptic signaling via neuropeptide	0.0417869433871483	5.14454856407681	1	1.17569266417651	1	Inf	0.117003441484015	1	1
SynGO-L3-BP-synaptic target recognition	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-synaptic vesicle cytoskeletal transport	0.54734971583479	2.05645538657686	1	0	1	0	0.867497662832497	1	1
SynGO-L3-BP-synaptic vesicle recycling via endosome	1	0	1	0	1	0	1	1	1
SynGO-L3-BP-translation at synapse	0.0106580221670834	2.15564185898592	0.162307532761962	0.212768359956239	1	0.955517126895544	0.0406942664561366	0.439801056516284	1
SynGO-L3-CC-extracellular matrix of synaptic cleft	0.327195050088391	Inf	1	0	1	0	0.597486613204888	1	1
SynGO-L3-CC-extrinsic component of synaptic membrane	0.327195050088391	Inf	1	0	1	0	0.597486613204888	1	1
SynGO-L3-CC-integral component of synaptic membrane	0.721906203707065	1.23387821936772	1	0	1	0	0.984953226286424	1	1
SynGO-L3-CC-postsynaptic Golgi apparatus	1	0	1	0	1	0	1	1	1
SynGO-L3-CC-postsynaptic cytoskeleton	0.0528255808303028	2.51681453431625	0.701353139377046	0.469603567135124	1	0.809043777557527	0.143140283540175	1	1
SynGO-L3-CC-postsynaptic cytosol	0.0821321098082553	2.05907789089258	1	0.940277990233474	0.478260869565217	Inf	0.209063552239195	1	1
SynGO-L3-CC-postsynaptic endocytic zone	0.40022687574081	2.05693123889428	0.439323065706855	2.35225026332494	1	Inf	0.683131828363483	0.922578437984396	1
SynGO-L3-CC-postsynaptic endosome	0.514277577392176	0.513873439709238	1	0	1	0	0.847045421587113	1	1
SynGO-L3-CC-postsynaptic ribosome	0.01628382379441	1.92500042764372	0.210582026746881	0.360119605923633	0.605263157894737	2.20094888678853	0.056993383280435	0.511532328037879	1
SynGO-L3-CC-presynaptic ER	1	0	1	0	1	0	1	1	1
SynGO-L3-CC-presynaptic cytoskeleton	0.251096207324128	4.11347200586503	1	0	1	0	0.527302035380669	1	1
SynGO-L3-CC-presynaptic endocytic zone	0.219775012332622	1.85237567407675	0.374938943818748	0	1	0	0.473361565024109	0.874857535577079	1
SynGO-L3-CC-presynaptic endosome	0.310560703357675	0	1	0	1	0	0.597486613204888	1	1
SynGO-L3-CC-presynaptic ribosome	0.00682579690053405	2.38768364382381	0.156728677819121	0.222960649852596	1	0.860384958114399	0.0284181773455525	0.439801056516284	1
SynGO-L3-CC-spine apparatus	0.664750563477842	1.37103329931838	1	0	1	0	0.962742195381702	1	1
SynGO-L3-CC-synaptic vesicle	0.536024231771323	1.13356904545767	0.388838128057341	0.550957026881668	0.740971609270776	1.23277951874063	0.865885297476752	0.882767642076126	1
