cell_type	regdom_prop	num_HARs	num_hCONDELs	num_HARs_hCONDELs	num_genes_near_HARs	num_genes_near_hCONDELs	num_genes_near_HARs_hCONDELs	prop_HARs	prop_hCONDELs	prop_HARs_hCONDELs	pval_genes_near_HARs	pval_genes_near_hCONDELs	pval_genes_near_HARs_hCONDELs	pval_HARs	pval_hCONDELs	pval_HARs_hCONDELs	padj_genes_near_HARs	padj_genes_near_hCONDELs	padj_genes_near_HARs_hCONDELs	padj_HARs	padj_hCONDELs	padj_HARs_hCONDELs
Sst8	0.0247970910621748	134	42	176	65	33	81	0.151515151515152	0.0769230769230769	0.188811188811189	0.000888652678865915	0.00240315303060449	0.000388214012703259	4.93126020695422e-09	0.0135324028430631	5.72637100356943e-10	0.031102843760307	0.108141886377202	0.0159167745208336	9.86252041390844e-08	0.636022933623966	1.66064759103513e-08
Pvalb4	0.0208584635734044	127	26	153	62	23	73	0.153086419753086	0.0567901234567901	0.180246913580247	0.000582679364453753	0.145719463542555	0.00165677212702445	1.05155929590804e-11	0.407657016096274	9.26153384499795e-10	0.0230248403235375	1	0.0546734801918068	4.10108125404136e-10	1	2.59322947659943e-08
L56NP1	0.0271172121970943	153	34	187	75	27	88	0.129087779690189	0.0464716006884682	0.151462994836489	0.0260148098088308	0.486316291494821	0.082527779481527	2.11366338913162e-11	0.37454729064382	1.41927029868842e-09	0.182103668661816	1	0.373128330801951	7.60918820087383e-10	1	3.83202980645873e-08
L23IT1	0.0317161134202969	166	44	210	92	34	107	0.130681818181818	0.0482954545454545	0.151988636363636	0.00831261030096319	0.3537873053531	0.0433322782059282	6.88985416912548e-10	0.149900297398152	3.4498062722358e-09	0.124689154514448	1	0.303325947441497	1.99805770904639e-08	1	8.6487368543479e-08
L56NP2	0.0280226126110742	142	48	190	74	36	91	0.180048661800487	0.0875912408759124	0.221411192214112	1.92853727831062e-06	0.000176234685474075	3.5583996370489e-07	7.64259743682637e-08	0.0072375129262427	3.60232245585794e-09	0.000102212475750463	0.00951667301560005	1.92153580400641e-05	8.40685718050901e-07	0.37635067216462	8.6487368543479e-08
Sncg1	0.0207435626431423	115	35	150	55	30	70	0.151933701657459	0.0828729281767956	0.193370165745856	0.00484619157565742	0.00213660434497396	0.00126420965211585	1.62677013539376e-08	0.0236834229174458	3.32643725167227e-09	0.0969238315131484	0.100420404213776	0.0467757571282864	2.76550923016939e-07	0.89997007086294	8.6487368543479e-08
L6b3	0.0193974929653495	114	27	141	55	22	62	0.159420289855072	0.063768115942029	0.179710144927536	0.00136598689338013	0.0848451109464864	0.00973588708060341	8.55237915281478e-10	0.212458471698584	7.15204135499201e-09	0.0409796068014039	1	0.15726264077821	2.39466616278814e-08	1	1.64496951164816e-07
Sst6	0.0230196573929769	132	29	161	62	23	71	0.149038461538462	0.0552884615384615	0.170673076923077	0.00217605635911427	0.199543725969775	0.0125594717594891	1.88105206449879e-10	0.377976123630783	7.96049829230976e-09	0.0587535216960853	1	0.15726264077821	6.39557701929589e-09	1	1.75130962430815e-07
Oligo1	0.016125927370453	101	21	122	53	17	57	0.221757322175732	0.0711297071129707	0.238493723849372	4.8935550685067e-07	0.0661016284517985	2.05703372545032e-05	3.17466429560361e-10	0.347584262078227	8.70741141223492e-09	2.64251973699362e-05	1	0.00104908719997966	9.52399288681083e-09	1	1.79731641713063e-07
Vip1	0.0205255539113863	116	31	147	59	25	67	0.163434903047091	0.0692520775623269	0.185595567867036	0.000585968006529185	0.0371567337219555	0.00435954977950391	5.13245908548538e-09	0.0978991470546959	8.55864960538394e-09	0.0230248403235375	1	0.110161298642338	9.86252041390844e-08	1	1.79731641713063e-07
Endo1	0.00960507550382625	67	16	83	30	11	30	0.275229357798165	0.100917431192661	0.275229357798165	9.4354644169792e-06	0.0278331859842605	0.000610665526285819	5.81582448499506e-09	0.107598616252142	9.52336262906464e-09	0.000481208685265939	0.862828765512075	0.0244266210514328	1.04684840729911e-07	1	1.80943889952228e-07
Pax62	0.0232352428418807	129	31	160	60	25	70	0.161725067385445	0.0673854447439353	0.188679245283019	0.000693004146136497	0.0513482564448676	0.00231057058482008	2.03929754686766e-09	0.26159717056031	2.35145737011064e-08	0.0256411534070504	1	0.0715558100914069	4.69038435779562e-08	1	4.23262326619915e-07
Vip8	0.0243790935779955	127	39	166	55	32	68	0.143603133159269	0.0835509138381201	0.177545691906005	0.0143045348670517	0.00126875140031143	0.0115546275415637	8.8773491078949e-08	0.035847267135338	2.64596763624184e-08	0.170501440503695	0.0634375700155715	0.15726264077821	8.8773491078949e-07	1	4.49814498161113e-07
Vip4	0.0255101403696163	131	41	172	61	31	75	0.150990099009901	0.0767326732673267	0.185643564356436	0.00280742276680432	0.00527807762221729	0.00209358142199106	1.20385596190361e-07	0.0301886036575697	2.8257469823745e-08	0.0705360868935349	0.205845027266474	0.0669946055037139	1.08347036571325e-06	1	4.5211951717992e-07
Sst3	0.0211365177267262	115	32	147	59	25	71	0.154855643044619	0.0656167979002625	0.186351706036745	0.00116777093156585	0.0445829216164645	0.00146698322829144	4.23300794935025e-08	0.0918463055007145	4.86153019066319e-08	0.0389458451220775	1	0.049877429761909	5.50291033415533e-07	1	7.07710012501586e-07
SstChodl1	0.0168251134352997	93	30	123	44	26	58	0.1375	0.08125	0.18125	0.0532851952771248	0.00566145711174042	0.0141135931570974	4.17476283373613e-07	0.0182094158219199	4.71806675001057e-08	0.319711171662749	0.215135370246136	0.15726264077821	3.3398102669889e-06	0.801214296164476	7.07710012501586e-07
L6ITCar32	0.0333313875461491	170	42	212	91	35	107	0.133627019089574	0.0513950073421439	0.15712187958884	0.0040784104566093	0.199081057150928	0.0160158889645033	2.58078077858335e-09	0.344162388419237	5.76766295800971e-08	0.0856466195887953	1	0.15726264077821	5.67771771288337e-08	1	7.49796184541262e-07
L5ET2	0.022708085409374	123	32	155	66	27	80	0.122448979591837	0.0500927643784787	0.148423005565863	0.0675434898832496	0.336380855408677	0.11295005770716	1.84265387091206e-08	0.171554936365851	6.55130024970575e-08	0.329772801315903	1	0.373128330801951	2.9482461934593e-07	1	7.8615602996469e-07
Vip5	0.0258551125301505	141	29	170	70	25	80	0.169491525423729	0.0605326876513317	0.193704600484261	3.48484309430332e-05	0.106098962361487	0.000327050513743957	1.11849387356975e-09	0.62536389076214	1.62878101392922e-07	0.00160302782337953	1	0.0137361215772462	2.90808407128135e-08	1	1.79165911532214e-06
Sst5	0.0207180414790927	114	28	142	56	23	65	0.155988857938719	0.064066852367688	0.181058495821727	0.00114546603300228	0.0597361268900551	0.00408004809786438	2.74670207420228e-08	0.252825980525236	1.83070701873883e-07	0.0389458451220775	1	0.110161298642338	3.84538290388319e-07	1	1.83070701873883e-06
Pax61	0.0217692952672505	119	27	146	61	24	71	0.155216284987277	0.0610687022900763	0.180661577608142	0.00114846741528452	0.104552266444888	0.0042715999221288	1.93883250426535e-08	0.4149290484882	4.11012316738938e-07	0.0389458451220775	1	0.110161298642338	2.9482461934593e-07	1	3.69911085065044e-06
Sst2	0.0272129249735546	124	50	174	67	40	86	0.133466135458167	0.0796812749003984	0.171314741035857	0.0204485308735093	0.000494265044565037	0.00666021014967941	6.03553996294947e-05	0.00164672994055378	6.40492041916118e-07	0.178570170644106	0.026196047361947	0.144360016807547	0.000362132397776968	0.0922168766710117	5.12393633532894e-06
OPC2	0.0144074298795146	86	18	104	39	14	45	0.213114754098361	0.0765027322404372	0.245901639344262	5.79668675657165e-05	0.0661648348203745	0.000115599972212841	5.04515491026368e-08	0.429063572359596	8.57538385815768e-07	0.00260850904045724	1	0.00543319869400353	6.05418589231642e-07	1	6.00276870071038e-06
Vip6	0.0197306542341763	95	34	129	49	29	65	0.149390243902439	0.0884146341463415	0.198170731707317	0.0142084533753079	0.00104886565484128	0.00136102261868939	6.61961468633452e-05	0.0196070078342846	6.24219961527663e-06	0.170501440503695	0.0534921483969053	0.048996814272818	0.000362132397776968	0.843101336874238	3.74531976916598e-05
Sncg3	0.0172469013217188	84	29	113	48	25	61	0.142011834319527	0.0739644970414201	0.180473372781065	0.0198411300715673	0.0151798326030221	0.00830375218749068	0.000117959700217643	0.0380604448144246	2.07529742454284e-05	0.178570170644106	0.531294141105774	0.152444194398689	0.000398869442480876	1	0.000103764871227142
Vip2	0.018415691433382	87	32	119	51	28	68	0.1513353115727	0.0830860534124629	0.201780415430267	0.00496714490020616	0.00227297831962861	0.000290192079394865	0.000237701402008109	0.0208063917955778	2.282909577314e-05	0.0969238315131484	0.104557002702916	0.0127684514933741	0.000475402804016218	0.873868455414267	0.000103764871227142
Astro1	0.0156280867286296	81	19	100	37	14	43	0.168949771689498	0.0639269406392694	0.19634703196347	0.0105310866361921	0.232865345525066	0.023494194296444	2.11927749618784e-05	0.471955791742627	0.00013731301706967	0.147435212906689	1	0.187953554371552	0.000148349424733149	1	0.00041193905120901
MicroPVM1	0.0112036261359283	60	14	74	28	11	31	0.197183098591549	0.0774647887323944	0.21830985915493	0.00281211118349783	0.0950758779176676	0.00981092956939925	9.97173606202189e-05	0.445108790879659	0.000400363876306321	0.0705360868935349	1	0.15726264077821	0.000398869442480876	1	0.000800727752612642
VLMC1	0.00681560088402027	39	9	48	21	7	22	0.166666666666667	0.0555555555555556	0.174603174603175	0.0691922925704489	0.463034239501425	0.242335601596689	0.000450994257848209	0.408618997491574	0.00109980166629828	0.329772801315903	1	0.462620951916722	0.000475402804016218	1	0.00109980166629828
