family_name	genes_in_family
Trk receptor	NTRK1;NTRK2;NTRK3
Neurexophilin	NXPH1;NXPH2;NXPH3;NXPH4
Non-clustered protocadherin	PCDH1;PCDH7;PCDH8;PCDH9;PCDH10;PCDH11X;PCDH11Y;PCDH12;PCDH15;PCDH17;PCDH18;PCDH19;PCDH20
Clustered protocadherin	PCDHA@;PCDHA1;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;PCDHA10;PCDHA11;PCDHA12;PCDHA13;PCDHA14;PCDHAC1;PCDHAC2;PCDHACT;PCDHB@;PCDHB1;PCDHB2;PCDHB3;PCDHB4;PCDHB5;PCDHB6;PCDHB7;PCDHB8;PCDHB9;PCDHB10;PCDHB11;PCDHB12;PCDHB13;PCDHB14;PCDHB15;PCDHB16;PCDHG@;PCDHGA1;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7;PCDHGC3;PCDHGC4;PCDHGC5;PCDHGCT
Plexin	PLXNA1;PLXNA2;PLXNA3;PLXNA4;PLXNB1;PLXNB2;PLXNB3;PLXNC1;PLXND1
Liprin	PPFIA1;PPFIA2;PPFIA3;PPFIA4;PPFIBP1;PPFIBP2
Protein tyrosine phosphatase receptor	PTPRA;PTPRB;PTPRC;PTPRD;PTPRE;PTPRF;PTPRG;PTPRH;PTPRJ;PTPRK;PTPRM;PTPRN;PTPRN2;PTPRO;PTPRQ;PTPRR;PTPRS;PTPRT;PTPRU;PTPRZ1;PTPRZ2
ROBO receptor	ROBO1;ROBO2;ROBO3;ROBO4
Reticulon	RTN1;RTN2;RTN3;RTN4;RTN4R;RTN4RL1;RTN4RL2
Semaphorin	SEMA3A;SEMA3B;SEMA3C;SEMA3D;SEMA3E;SEMA3F;SEMA3G;SEMA4A;SEMA4B;SEMA4C;SEMA4D;SEMA4F;SEMA4G;SEMA5A;SEMA5B;SEMA6A;SEMA6B;SEMA6C;SEMA6D;SEMA7A
SLIT	SLIT1;SLIT2;SLIT3
SLIT and NTRK like receptor	SLITRK1;SLITRK2;SLITRK3;SLITRK4;SLITRK5;SLITRK6
Teneurin	TENM1;TENM2;TENM3;TENM4
Tetraspanin	TSPAN1;TSPAN2;TSPAN3;TSPAN4;TSPAN5;TSPAN6;TSPAN7;TSPAN8;TSPAN9;TSPAN10;TSPAN11;TSPAN12;TSPAN13;TSPAN14;TSPAN15;TSPAN16;TSPAN17;TSPAN18;TSPAN19;TSPAN31;TSPAN32;TSPAN33
UNC netrin receptor	UNC5A;UNC5B;UNC5C;UNC5D
VSTM	VSTM1;VSTM2A;VSTM2B;VSTM2L;VSTM4;VSTM5
